
約定履歴照会 

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"すべての商品","2025年10月03日","2026年02月02日","40","1","40"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2025/10/03","ヘリオス","4593","--",株式現物売,"--"," NISA(成) ","非課税",80,491,--,--,"2025/10/07",39280
"2025/10/03","ソフトバンクグループ","9984","--",株式現物買,"--"," 特定 ","--",10,19980,--,--,"2025/10/07",199800
"2025/10/03","ｉＦｒｅｅＮＥＸＴ　ＦＡＮＧ＋インデックス",,,投信金額買付,"--"," NISA(つ) ","--",12365,80877,--,--,"2025/10/08",100000
"2025/10/06","伊勢化学工業","4107","--",株式現物買,"--"," 特定 ","--",1,31450,--,--,"2025/10/08",31450
"2025/10/06","ｉＦｒｅｅＮＥＸＴ　ＦＡＮＧ＋インデックス",,,投信金額買付,"--"," 特定/一般 ","--",404430,81725,--,--,"2025/10/09",3305200
"2025/11/05","伊勢化学工業","4107","--",株式現物売,"--"," 特定 ","申告",1,34600,--,--,"2025/11/07",34600
"2025/11/05","ソフトバンクグループ","9984","--",株式現物売,"--"," 特定 ","申告",10,22900,--,--,"2025/11/07",229000
"2025/11/05","ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド",,,投信金額解約,"--"," 特定 ","--",576186,34711,--,--,"2025/11/10",2000000
"2025/11/05","ｉＦｒｅｅＮＥＸＴ　ＦＡＮＧ＋インデックス",,,投信金額買付,"--"," NISA(つ) ","--",11577,86378,--,--,"2025/11/10",100000
"2025/11/10","ｉＦｒｅｅＮＥＸＴ　ＦＡＮＧ＋インデックス",,,投信金額買付,"--"," NISA(成) ","--",234014,85465,--,--,"2025/11/13",2000000
"2025/11/12","Ｂｉｔｃｏｉｎ　Ｊａｐａｎ","8105","東証",株式現物買,"--"," 特定 ","--",300,849,--,--,"2025/11/14",254700
"2025/11/13","Ｂｉｔｃｏｉｎ　Ｊａｐａｎ","8105","東証",株式現物売,"--"," 特定 ","申告",100,774,--,--,"2025/11/17",77400
"2025/11/14","Ｂｉｔｃｏｉｎ　Ｊａｐａｎ","8105","東証",株式現物売,"--"," 特定 ","申告",200,714,--,--,"2025/11/18",142800
