通貨指定,商品指定,期間（国内約定日）開始,期間（国内約定日）終了,明細数
"すべての通貨","すべての商品","2025年10月03日","2026年02月03日","18"
国内約定日,通貨,銘柄名,取引,預り区分,約定数量,約定単価,国内受渡日,受渡金額
"2026年01月30日","米国ドル","アメンタム ホールディングス インク AMTM / New York Stock Exchange","買付","特定","140","36.72","26/02/03","5162.8"
"2026年01月27日","米国ドル","サンディスク SNDK / NASDAQ","売却","特定","11","462.37454545","26/01/29","5064.12"
"2026年01月23日","米国ドル","アメンタム ホールディングス インク AMTM / New York Stock Exchange","買付","特定","12","35.24","26/01/27","424.97"
"2026年01月22日","米国ドル","プラネット ラボズ PL / New York Stock Exchange","売却","特定","15","27.04","26/01/26","403.6"
"2025年12月25日","米国ドル","サンディスク SNDK / NASDAQ","買付","特定","11","244.9","25/12/29","2707.23"
"2025年12月23日","米国ドル","プラネット ラボズ PL / New York Stock Exchange","買付","特定","15","19.838","25/12/25","299.04"
"2025年12月17日","米国ドル","ジェイフロッグ FROG / NASDAQ","売却","特定","40","64.97","25/12/19","2585.94"
"2025年12月05日","米国ドル","ジェイフロッグ FROG / NASDAQ","買付","特定","40","62.86","25/12/09","2526.84"
"2025年12月03日","米国ドル","トラベル セラピューティクス TVTX / NASDAQ","売却","特定","90","34.17","25/12/05","3060.08"
"2025年12月01日","米国ドル","トラベル セラピューティクス TVTX / NASDAQ","買付","特定","90","37.11","25/12/03","3356.43"
"2025年11月13日","米国ドル","イーオーエス　エナジー EOSE / NASDAQ","売却","特定","175","17.2307","25/11/17","3000.46"
"2025年11月12日","米国ドル","イーオーエス　エナジー EOSE / NASDAQ","買付","特定","175","18.98","25/11/14","3337.94"
"2025年11月06日","米国ドル","インテル INTC / NASDAQ","売却","特定","90","37.42","25/11/10","3351.13"
"2025年10月30日","米国ドル","インテル INTC / NASDAQ","買付","特定","90","41.6","25/11/04","3762.53"
"2025年10月17日","米国ドル","オースター OUST / NASDAQ","売却","特定","100","35.72","25/10/21","3554.32"
"2025年10月16日","米国ドル","オースター OUST / NASDAQ","買付","特定","100","39.13","25/10/20","3932.36"
"2025年10月14日","米国ドル","オスカーヘルスインク A OSCR / New York Stock Exchange","売却","特定","90","20.5207","25/10/16","1837.73"
"2025年10月14日","米国ドル","プラネット ラボズ PL / New York Stock Exchange","売却","特定","175","14.965","25/10/16","2605.92"
